Title 	 Authors 	 Date of Publication 	 Digital Object Identifier
Protection against human and porcine enterotoxigenic strains of Escherichia coli in rats immunized with a cross-linked toxoid vaccine.	Klipstein FA Engert RF Clements JD Houghten RA	1983 Jun	?
Physical characterization of non-conjugative citrate utilization plasmids.	Ishiguro N Kubo K Sato G	1983 Jun	?
Genetic localization and characterization of a pKM101-coded endonuclease.	Winans SC Walker GC	1983 Jun	?
traJ independence in expression of traT on F.	Rashtchian A Crooks JH Levy SB	1983 May	?
Cloning and polypeptide analysis of the leading region in F plasmid DNA transfer.	Ray A Skurray R	1983 May	?
Transfer-defective and tetracycline-sensitive mutants of the incompatibility group HI plasmid R27 generated by insertion of transposon 7.	Taylor DE	1983 May	?
Alignment of genetic and restriction maps of the photosynthesis region of the Rhodopseudomonas capsulata chromosome by a conjugation-mediated marker rescue technique.	Taylor DP Cohen SN Clark WG Marrs BL	1983 May	?
Conjugative plasmids in bacteria of the 'pre-antibiotic' era.	Hughes VM Datta N	1983 Apr 21	?
Structure of the core regions in lipopolysaccharides from Escherichia coli K12 W2252-11U-, the Ter-15 mutant, and Ter-15 (F'-lac) and Ter-15 (F+) cells.	Ohkawa T	1983 Apr 20	0304-4165(83)90342-2 [pii]
In vivo transfer of enterotoxin plasmid among Escherichia coli strains in gnotobiotic pigs.	Sekizaki T Terakado N Hashimoto K	1983 Apr	?
Drug-resistance and distribution of conjugative R plasmids in Escherichia coli strains isolated from healthy adult animals and humans.	Kanai H	1983 Apr	?
Epizootiological studies on R plasmid with carbadox resistance.	Ohmae K Yonezawa S Terakado N	1983 Apr	?
[Method of selecting Escherichia coli resistant and sensitive to aerosolization].	Koniukhov VF Likhoded LIa Sadretdinov SM	1983 Apr	?
Plasmids encoding trimethoprim resistance in bacterial isolates from man and pigs.	Mee BJ Nikoletti SM	1983 Apr	?
Transfer of trimethoprim resistance from fecal Escherichia coli isolated during a prophylaxis study in Mexico.	Murray BE Rensimer ER	1983 Apr	?
Mechanism of F factor-enhanced excision of transposon Tn5.	Berg DE Egner C Lowe JB	1983 Apr	0378-1119(83)90058-6 [pii]
Chromosomal location of the gene encoding phosphoribosylpyrophosphate synthetase in Escherichia coli.	Hove-Jensen B	1983 Apr	?
Genetic transfer of a mucosal adherence factor (R1) from an enteropathogenic Escherichia coli strain into a Shigella flexneri strain and the phenotypic suppression of this adherence factor.	Cheney CP Formal SB Schad PA Boedeker EC	1983 Apr	?
[Transmissible tetracycline resistance of E. coli wild strains using streptomycin endo-plate for the selection of exconjugants].	Gericke B Ziesche K	1983 Mar	?
Alterations in the pathogenicity of Escherichia coli K-12 after transfer of plasmid and chromosomal genes from Shigella flexneri.	Sansonetti PJ Hale TL Dammin GJ Kapfer C Collins HH Jr Formal SB	1983 Mar	?
Hybrid plasmids containing the pyruvate dehydrogenase complex genes and gene-DNA relationships in the 2 to 3 minute region of the Escherichia coli chromosome.	Guest JR Roberts RE Stephens PE	1983 Mar	10.1099/00221287-129-3-671 [doi]
Demonstration of a third incompatibility function on plasmids already incompatible with group P and group I plasmids.	Bird PI Pittard J	1983 Mar	0147-619X(83)90020-3 [pii]
Cloning of a plasmid region specifying the N transfer system of bacterial conjugation in Escherichia coli.	Thatte V Iyer VN	1983 Mar	0378-1119(83)90006-9 [pii]
Plasmids of enterotoxigenic Escherichia coli H10407: evidence for two heat-stable enterotoxin genes and a conjugal transfer system.	Yamamoto T Yokota T	1983 Mar	?
Isolation of plasmids encoding tetracycline resistance from Campylobacter jejuni strains isolated from simians.	Tenover FC Bronsdon MA Gordon KP Plorde JJ	1983 Feb	?
Repression of the virulence of Yersinia pestis by an F' plasmid.	Zsigray RM Lawton WD Surgalla MJ	1983 Feb	?
[Transfer of plasmid RP4 into some phytopathogenic bacteria and its relation to their virulence].	Wei SC Dai H Kuo TT	1983 Feb	?
Genetic transfer of antimicrobial resistance and enterotoxigenicity among Escherichia coli strains.	Wachsmuth K DeBoy J Birkness K Sack D Wells J	1983 Feb	?
[Effect of antimicrobial surface-active agents on Hly-factor of enterobacteria].	Krivoshein IuS Bryzgunova NI	1983 Feb	?
[Comparative evaluation of biological properties of Salmonella typhimurium strains of different origin and genetic nature of resistance to antibiotics].	Belova TN Brusnigina NF Anisimova LA Ivanova NI Ladygina GN	1983 Feb	?
Transferable drug resistance in Escherichia coli isolated from antibiotic-fed chickens.	Scioli C Esposito S Anzilotti G Pavone A Pennucci C	1983 Feb	10.3382/ps.0620382 [doi]
Plasmid coding for drug resistance and production of heat-labile and heat-stable toxins harbored by an Escherichia coli strain of human origin.	Silva ML Scaletsky IC Reis MH Affonso MH Trabulsi LR	1983 Feb	?
Apparent bacteriophage-binding region of an Escherichia coli K-12 outer membrane protein.	Cole ST Chen-Schmeisser U Hindennach I Henning U	1983 Feb	?
pH-sensitive CDP-diglyceride synthetase mutants of Escherichia coli: phenotypic suppression by mutations at a second site.	Ganong BR Raetz CR	1983 Feb	?
Transfer and expression of the herbicide-degrading plasmid pJP4 in aerobic autotrophic bacteria.	Friedrich B Meyer M Schlegel HG	1983 Feb	?
HeLa cell invasiveness and O antigen of Shigella flexneri as separate and prerequisite attributes of virulence to evoke keratoconjunctivitis in guinea pigs.	Okamura N Nagai T Nakaya R Kondo S Murakami M Hisatsune K	1983 Feb	?
N-terminal amino acid sequencing of EDP208 conjugative pili.	Frost LS Armstrong GD Finlay BB Edwards BF Paranchych W	1983 Feb	?
Construction of recombination-deficient strains of Pseudomonas aeruginosa.	Fruh R Watson JM Haas D	1983	?
[Inhibition of plasmid transfer in Escherichia coli by oxolinic acid].	Michel-Briand Y Laporte JM Bassignot A	1983	?
Drug resistance and conjugative R plasmids in fecal Escherichia coli strains isolated from healthy younger animals (chickens, piglets, calves) and children.	Kanai H Hashimoto H Mitsuhashi S	1983	?
[Transfer of H2S plasmid from E. coli to Shigella].	Mleczko J Mulczyk M Jankowski S	1983	?
Site-specific recombination following conjugation in Escherichia coli K-12.	Birge EA	1983	?
Concurrent transfer and recombination between plasmids encoding for heat-stable enterotoxin and drug resistance in porcine enterotoxigenic Escherichia coli.	Franklin A Mollby R	1983	?
Isolation and characterization of a higher-copy-number mutant of plasmid R6K.	Nesvera J Hochmannova J	1983	?
Characterization of conjugative plasmids belonging to a new incompatibility group (IncZ).	Tschape H Tietze E	1983	?
Nif-hybrids of Enterobacter: selection for nif gene integration with chlorate.	Klingmuller W Shanmugam KT Singh M	1983	?
Control of arg gene expression in Salmonella typhimurium by the arginine repressor from Escherichia coli K-12.	Gardner MM Hennig DO Kelln RA	1983	?
On the nature of the RecBC and RecF pathways of conjugal recombination in Escherichia coli.	Lloyd RG Thomas A	1983	?
Further studies on the inviability of Escherichia coli K12 rho mutant strains carrying IncFII plasmids.	Light J Baumberg S	1983	?
Genetic analysis of chromosomal resistance to trimethoprim derived from clinical isolates of Escherichia coli.	Pinn PA Towner KJ O'Grady FW	1983 Jan	10.1099/00221287-129-1-85 [doi]
Polymorphism in Escherichia coli: rtl atl and gat regions behave as chromosomal alternatives.	Woodward MJ Charles HP	1983 Jan	10.1099/00221287-129-1-75 [doi]
[Temperature-sensitive replication of plasmid pKM101].	Torosian MV Shishkova OV	1983	?
Experimental and mathematical models of Escherichia coli plasmid transfer in vitro and in vivo.	Freter R Freter RR Brickner H	1983 Jan	?
Uses of the transposon gamma delta in the analysis of cloned genes.	Guyer MS	1983	?
Cyclic AMP and its receptor protein are required for expression of transfer genes of conjugative plasmid F in Escherichia coli.	Kumar S Srivastava S	1983	?
A broad-host-range cloning vector transposable to various replicons.	Grinter NJ	1983 Jan-Feb	0378-1119(83)90155-5 [pii]
Spontaneous deletions of the chromosome-mobilizing plasmid R68.45 in Pseudomonas aeruginosa PAO.	Haas D Riess G	1983 Jan	0147-619X(83)90030-6 [pii]
Prokaryotic DNA replication systems.	Nossal NG	1983	10.1146/annurev.bi.52.070183.003053 [doi]
[Reactivation of ultraviolet-irradiated phage lambda and recombination in Escherichia coli K-12 cells containing plasmid ColIb-P9].	Kopylov VM Khmel' IA	1983	?
Transfer inhibition of RP4 by F factor.	Tanimoto K Iino T	1983	?
Proteinaceous bacterial adhesins and their receptors.	Jones GW Isaacson RE	1983	?
High-productivity alcohol fermentations using Zymomonas mobilis.	Skotnicki ML Warr RG Goodman AE Lee KJ Rogers PL	1983	?
Host range of conjugation and replication functions of the Escherichia coli sex plasmid Flac. Comparison with the broad host-range plasmid RK2.	Guiney DG	1982 Dec 15	0022-2836(82)90397-7 [pii]
Distribution of antibiotic resistant and bioactive Escherichia coli strains in clinical materials in Tokyo area and their conjugative plasmids.	Arai T Komatsu S Komatsu Y	1982 Dec	?
Hfr-mediated conjugative transfer of pBR322 vector carrying the chromosomal DNA of Escherichia coli.	Yamada M Hirota Y	1982 Dec	0378-1119(82)90216-5 [pii]
[Characteristics of new pKMR-plasmids detected in natural strains of Enterobacteriaceae].	Korotiaev AI Dorokhina OV	1982 Dec	?
R-plasmid transfer in a wastewater treatment plant.	Mach PA Grimes DJ	1982 Dec	?
DNA primase of plasmid ColIb is involved in conjugal DnA synthesis in donor and recipient bacteria.	Chatfield LK Orr E Boulnois GJ Wilkins BM	1982 Dec	?
Serological classification of conjugative plasmids by indirect haemagglutination.	Feilberg Jorgensen NH Moller JK Stenderup A	1982 Dec	10.1099/00221287-128-12-2991 [doi]
R-prime site-directed transposon Tn7 mutagenesis of the photosynthetic apparatus in Rhodopseudomonas capsulata.	Youvan DC Elder JT Sandlin DE Zsebo K Alder DP Panopoulos NJ Marrs BL Hearst JE	1982 Nov 25	0022-2836(82)90160-7 [pii]
Plasmid R394 is a cointegrate.	Hauman JH Hedges RW Coetzee WF Coetzee JN	1982 Nov	10.1099/00221287-128-11-2791 [doi]
[Conjugational transfer of chromosomal markers in the Erwinia chrysanthemi bacterial system. II. Characteristics of the donor strain of Erwinia chrysanthemi VY1-10].	Prokulevich VA Korovina NA Fomichev IuK	1982 Nov	?
Complementation of transposition of tnpA mutants of Tn3, Tn21, Tn501, and Tn1721.	Grinsted J de la Cruz F Altenbuchner J Schmitt R	1982 Nov	?
Characterization of the transposons Tn1822 (Tc) and Tn1824 (TpSm) and the light they throw on the natural spread of resistance genes.	Tietze E Prager R Tschape H	1982 Nov	?
Cellular control of conjugation in Escherichia coli K12. Effect of chromosomal cpx mutations on F-plasmid gene expression.	Sambucetti L Eoyang L Silverman PM	1982 Oct 15	0022-2836(82)90275-3 [pii]
Isolation and characterization of a streptomycin resistance plasmid from Pseudomonas cepacia.	Hirai K Iyobe S Mitsuhashi S	1982 Oct	?
Occurrence and characterization of plasmids in field isolates of Bordetella bronchiseptica.	Graham AC Abruzzo GK	1982 Oct	?
[Nature of the genetic control of antibiotic resistance in a Pseudomonas aeruginosa BS205 strain].	Anisimova LA Zakharieva S Boronin AM	1982 Oct	?
Recombination properties of P1 dlac.	Porter RD	1982 Oct	?
In situ studies with membrane diffusion chambers of antibiotic resistance transfer in Escherichia coli.	Altherr MR Kasweck KL	1982 Oct	?
Cloning of Pseudomonas plasmid pMG7 and its restriction-modification system in Escherichia coli.	Theriault G Roy PH	1982 Oct	0378-1119(82)90026-9 [pii]
[Comparative analysis of the P-1-group plasmids of incompatibility].	Azarian NG Sakanian VA Krupenko MA Alikhanian SI	1982 Oct	?
Plasmid transfer to Bordetella pertussis: conjugation and transformation.	Weiss AA Falkow S	1982 Oct	?
Mapping of two loci affecting the synthesis and structure of a periplasmic protein involved in arginine and ornithine transport in Escherichia coli K-12.	Celis RT	1982 Sep	?
Seasonal variation of entertoxigenic Escherichia coli among children with diarrhoea in Bangkok.	Maidin MA Tharavanij S Chaicumpa W	1982 Sep	?
[Recombinogenic effect of low radiation doses in bacterial conjugation].	Dromashko SE Troitskii NA	1982 Sep-Oct	?
[Plasmid preservation in Escherichia coli cells in batch and continuous cultivation].	Ermolenko ZM Litvinov VV Kolesnichenko IF Samoilenko VA	1982 Sep	?
[Genetic control of antibiotic resistance and the R plasmid properties of clinical E. coli strains].	Vakulenko SB Bodunkova LE Fomina IP Navashin SM	1982 Sep	?
[Features of incompatibility expressed by 1- and 2-replicon deletion derivatives of plasmid RP4].	Riabchenko LE Dobrovol'ski P Sakanian VA	1982 Sep	?
K antigen and serum sensitivity of rough Escherichia coli.	Opal S Cross A Gemski P	1982 Sep	?
Tn7 insertion mutations affecting the host range of the promiscuous IncP-1 plasmid R18.	Cowan P Krishnapillai V	1982 Sep	0147-619X(82)90054-3 [pii]
Cointegrate formation between homologous plasmids in Escherichia coli.	Peterson BC Hashimoto H Rownd RH	1982 Sep	?
[Conjugation in Rhodopseudomonas sphaeroides mediated by R plasmids].	Kameneva SV Polivtseva TP Kopteva AV Muronets EM	1982 Sep	?
Transfer of drug-resistance plasmids by conjugation from nosocomial strains of Serratia marcescens to Escherichia coli in biological fluids of human origin.	Mendez FJ Mendoza MC Llaneza JJ Hardisson C	1982 Sep	0195-6701(82)90047-0 [pii]
Isolation and characterization of plasmids encoding heat-stable enterotoxin from Escherichia coli of cattle origin.	Sekizaki T Terakado N Ueda H Hashimoto K	1982 Aug	?
[Antibiotic resistance and its transmissibility in strains of opportunistic enterobacteria].	Balanin NV	1982 Aug	?
Development of a vaccine of cross-linked heat-stable and heat-labile enterotoxins that protects against Escherichia coli producing either enterotoxin.	Klipstein FA Engert RF Clements JD	1982 Aug	?
[Genetic characteristics of plasmid pAP53 derepressed in transfer functions detected in the cells of an opportunistic E. coli strain].	Buianova NI Shchipkov VP Pekhov AP	1982 Aug	?
thiK and thiL loci of Escherichia coli.	Imamura N Nakayama H	1982 Aug	?
recF-dependent recombination as a SOS function.	Armengod ME	1982 Aug-Sep	S0300-9084(82)80101-6 [pii]
An IncN plasmid exhibiting a high frequency of transfer in broth media.	Jorgensen NH Stenderup A	1982 Aug	?
Transfer of IncN plasmids to Pseudomonas aeruginosa.	Tardif G Grant RB	1982 Jul	?
Genetic determinants of bacteriocins in Klebsiella pneumoniae.	Arora DR Chugh TD	1982 Jul	?
Transferable drug resistance in Escherichia coli isolated from food.	Panhotra BR Agarwal KC Agnihotri V	1982 Jul	?
[Changes in the nature of the sensitivity of an E. coli M strain carrying Inc-group R plasmids, to coliphages T3 and T7].	Korotiaev AI Dorokhina OV	1982 Jul	?
Several copies of the same insertion sequence are present in alpha-hemolytic plasmids belonging to four different incompatibility groups.	Zabala JC de la Cruz F Ortiz JM	1982 Jul	?
Genetic and molecular characterization of Tn21, a multiple resistance transposon from R100.1.	de la Cruz F Grinsted J	1982 Jul	?
Activity of cefoperazone against ampicillin-resistant bacteria in agar and broth dilution tests.	Kayser FH Morenzoni G Homberger F	1982 Jul	?
Chromosomal location of att P7, the recA-independent p7 integration site used in the suppression of Escherichia coli dnaA mutations.	Chesney RH Adler E	1982 Jun	?
Experimental ecological studies on H2 plasmids in the intestine and faeces of the calf.	Timoney JF Linton AH	1982 Jun	?
[Mobilization capacity of the genetic transfer factors pAP38, pAP-39, pAP41, pAP42 and pAP43].	Gigani OB Pekhov AP	1982 May	?
Mutagenesis of Alcaligenes eutrophus by insertion of the drug-resistance transposon Tn5.	Srivastava S Urban M Friedrich B	1982 May	?
[F-like genetic transfer factor pAP42].	Gubar' EV Pekhov AP	1982 Apr	?
Evidence for a chromosomal site specifying amikacin resistance in multiresistant Serratia marcescens.	John JF Jr McNeill WF Price KE Kresel PA	1982 Apr	?
Phenotypic expression of mutations in a wide-host-range R plasmid in Escherichia coli and Rhizobium meliloti.	Hooykaas PJ den Dulk-Ras H Schilperoort RA	1982 Apr	?
Transfer of the gonococcal penicillinase plasmid: mobilization in Escherichia coli by IncP plasmids and isolation as a DNA-protein relaxation complex.	Guiney DG Jr Ito JI Jr	1982 Apr	?
Related R-plasmids in coexisting cultures of Salmonella typhimurium and Escherichia coli.	Rangnekar VM Banker DD Jhaia HI	1982 Apr	?
The maintenance and propagation of plasmid genes in bacterial populations. The Sixth Fleming Lecture.	Sherratt DJ	1982 Apr	10.1099/00221287-128-4-655 [doi]
Promoter-distal region of the tra operon of F-like sex factor R100 in Escherichia coli K-12.	Hansen BS Manning PA Achtman M	1982 Apr	?
Analysis of the promoter-distal region of the tra operon of the F sex factor of Escherichia coli K-12 encoded by EcoRI restriction fragments f17, f19, and f2.	Manning PA Kusecek B Morelli G Fisseau C Achtman M	1982 Apr	?
DNA homology of the promoter-distal regions of the tra operons of sex factors F and R100 in Escherichia coli K-12.	Manning PA Morelli G	1982 Apr	?
Utilization of a thermosensitive episome bearing transposon TN10 to isolate Hfr donor strains of Erwinia carotovora subsp. chrysanthemi.	Kotoujansky A Lemattre M Boistard P	1982 Apr	?
Another gene affecting sexual expression of Escherichia coli.	Lerner TJ Zinder ND	1982 Apr	?
[Biology of R plasmids].	Korotiaev AI Malysheva TV	1982 Mar-Apr	?
Molecular and genetic properties of plasmid R485 conferring resistance to sulphonamides.	Hochmannova J Nesvera J Stokrova J Stransky J	1982 Mar	10.1099/00221287-128-3-529 [doi]
Formation of F'trp plasmids in Escherichia coli K12.	Van Gijsegem F Toussaint A	1982 Mar	?
Comparison between plasmids of Salmonella and other enterobacteria isolated from the same patients.	Palomares JC Perea EJ	1982 Mar-Apr	?
Plasmid-mediated antimicrobial resistance in Haemophilus pleuropneumoniae.	Hirsh DC Martin LD Libal MC	1982 Feb	?
The orientation of transfer of the plasmid RP4.	Al-Doori Z Watson M Scaife J	1982 Feb	?
Nalidixic acid inhibits the conjugal transfer of conjugative N incompatibility group plasmids.	Gill S Iyer VN	1982 Feb	?
[Mobilization of Vibrio cholerae chromosomal genes by plasmid RP4::Mu cts62].	Skavronskaia AG Aleshkin GI Tiganova IG Shaginian IA	1982 Feb	?
[Inhibition of the diffusion of plasmids by a nitrofuran derivative].	Michel-Briand Y Laporte JM	1982 Feb 1	?
A Col E1 hybrid plasmid containing Escherichia coli genes complementing d-xylose negative mutants of Escherichia coli and Salmonella typhimurium.	Maleszka R Wang PY Schneider H	1982 Feb	?
Involvement of the bacterial groM gene product in bacteriophage T7 reproduction. I. Arrest at the level of DNA packaging.	Kuhn AH Moncany ML Kellenberger E Hausmann R	1982 Feb	?
Mobilization of nonconjugative antibiotic resistance plasmids in Haemophilus ducreyi.	Deneer HG Slaney L Maclean IW Albritton WL	1982 Feb	?
[New class of RP4 plasmid mutations inducing a mucoid-type of Escherichia coli K-12 cell growth].	Danilevich VN Stepanshin IuG Troitskii AV Fedoseeva VB	1982	?
Plasmid ColE1 conjugal mobility: the nature of bom, a region required in cis for transfer.	Finnegan J Sherratt D	1982	?
Colicins E4, E5, E6 and A and properties of btuB+ colicinogenic transconjugants.	Males BM Stocker BA	1982 Jan	10.1099/00221287-128-1-95 [doi]
[Ability of conjugated plasmids of serotyped E. coli to inhibit genetic transfer of depressed FLAC and PAP22-4 plasmids].	Shchipkov VP	1982 Jan	?
Cloning and expression in Escherichia coli K-12 of the genes for major outer membrane protein OmpA from Shigella dysenteriae, Enterobacter aerogenes, and Serratia marcescens.	Cole ST Sonntag I Henning U	1982 Jan	?
Hemolysin plasmid coding for the virulence of a nephropathogenic Escherichia coli strain.	Waalwijk C van den Bosch JF MacLaren DM de Graaff J	1982 Jan	?
Conjugation-deficient mutants of Escherichia coli distinguish classes of functions of the outer membrane OmpA protein.	Manoil C Rosenbusch JP	1982	?
Hexachlorophene. Secondary microorganism resistance to hexachlorophene. Conjugative transfer inhibition by the R-plasmid-coded resistance by hexachlorophene.	Volna F	1982	?
[Integration of the genome of the Mu-like Pseudomonas aeruginosa bacteriophage D3112 into plasmid RP4 and its hybrid plasmid transfer into Pseudomonas putida and Escherichia coli C600 bacteria].	Krylov VN Plotnikova TG Kulakov LA Fedorova TV Eremenko EN	1982	?
[Selection and persistence in the slaughter calf fecal flora of Escherichia coli simultaneously resistant to tetracycline, streptomycin and sulfonamides following long term treatment with oxytetracycline].	De Rycke J Boivin R	1982	?
A new major outer membrane protein in derivatives of Escherichia coli carrying the virulence plasmid ColV-K94.	Moores JC Rowbury RJ	1982	?
[Drug resistance and the occurrence of conjugative R plasmids in E. coli strains isolated from healthy pigs].	Bineva I Korudzhiiski N	1982	?
[Incidence of conjugated R plasmids in E. coli strains isolated from birds with colisepticemia].	Korudzhiiski N Giurov B Bineva I	1982	?
[Drug resistance induced by conjugated R-plasmids in E. coli isolated from swine-breeding facilities].	Bineva I Korudzhiiski N Karadzhov S	1982	?
Conjugation of drug-resistance plasmids from vibrio anguillarum to Vibrio parahaemolyticus.	Hayashi F Harada K Mitsuhashi S Inoue M	1982	?
Cloning, mutation, and location of the F origin of conjugal transfer.	Everett R Willetts N	1982	?
Symbiotic nitrogen fixation: molecular cloning of Rhizobium genes involved in exopolysaccharide synthesis and effective nodulation.	Chakravorty AK Zurkowski W Shine J Rolfe BG	1982	?
The Escherichia coli dnaW mutation is an allele of the adk gene.	Henson JM Blinkowa A Walker JR	1982	?
[Method of selecting mutations for the plasmid genes of streptomycin resistance in Escherichia coli K-12 cells].	Mironov VN Gordeev VK	1982	?
[Location of the traS- and finO-type genes and of the oriT region of plasmid R6K].	Abalakina EG Iakubov LZ Stepanov AI	1982	?
Genetic map of the crown gall suppressive IncW plasmid pSa.	Tait RC Lundquist RC Kado CI	1982	?
pIJ101, a multi-copy broad host-range Streptomyces plasmid: functional analysis and development of DNA cloning vectors.	Kieser T Hopwood DA Wright HM Thompson CJ	1982	?
[Organization of the genetic system of plasmid R6K conjugativity].	Abalakina EG Iakubov LZ Stepanov AI	1982	?
An R plasmid of Serratia marcescens transferable to Pseudomonas aeruginosa.	Olexy VM Mucha DK Bird TJ Grieble HG Farrand SK	1982	10.1159/000238054 [doi]
Zygotic induction of the rac locus can cause cell death in E. coli.	Feinstein SI Low KB	1982	?
Chromosome transfer and R-prime formation by an RP4::mini-Mu derivative in Escherichia coli, Salmonella typhimurium, Klebsiella pneumoniae, and Proteus mirabilis.	Van Gijsegem F Toussaint A	1982 Jan	0147-619X(82)90024-5 [pii]
Constitutive expression of SOS functions and modulation of mutagenesis resulting from resolution of genetic instability at or near the recA locus of Escherichia coli.	Witkin EM McCall JO Volkert MR Wermundsen IE	1982	?
Pleiotropic character of mutations altering the LPS core structure of Escherichia coli K-12.	Bielecki J Hrebenda J	1982	?
Further characterization of R485, and IncX plasmid that determines two kinds of pilus.	Bradley DE	1982 Jan	?
Cloning of F DNA fragments carrying the origin of transfer oriT and the fertility inhibition gene finP.	Johnson D Everett R Willetts N	1981 Dec 5	0022-2836(81)90273-4 [pii]
Mechanisms of drug-resistance transfer in Bacteroides fragilis.	Malamy MH Tally FP	1981 Dec	?
traG protein of the F sex factor of Escherichia coli K-12 and its role in conjugation.	Manning PA Morelli G Achtman M	1981 Dec	?
Expression of Pseudomonas fluorescens D-galactose dehydrogenase in E. coli.	Buckel P Zehelein E	1981 Dec	0378-1119(81)90071-8 [pii]
Transfer of nitrogen fixation genes into Pseudomonas putida isolated from Finnish tundra soil.	Lehtinen H Mantsala P	1981 Dec	?
Specific-purpose plasmid cloning vectors. II. Broad host range, high copy number, RSF1010-derived vectors, and a host-vector system for gene cloning in Pseudomonas.	Bagdasarian M Lurz R Ruckert B Franklin FC Bagdasarian MM Frey J Timmis KN	1981 Dec	0378-1119(81)90080-9 [pii]
[Migration of the ampicillin transposon in enteropathogenic Escherichia].	Voskresenskii AM	1981 Dec	?
Plasmid RP4 specifies a deoxyribonucleic acid primase involved in its conjugal transfer and maintenance.	Lanka E Barth PT	1981 Dec	?
[Transmissivity of antibiotic resistance factors in intergeneric crossing of salmonellae and Escherichia Crimea].	Kharchenko GI Zadorina TM Belova NN	1981 Nov	?
[Preparation and study of Bordetella parapertussis 17903 strains carrying plasmids Rts-1 and RP-1].	Kir'ianova GP Zakharova MS	1981 Nov	?
The transient inability of the conjugating female cell to host 186 infection explains the absence of zygotic induction for 186.	Woods WH Egan B	1981 Nov	?
Mapping of a new pan mutation in Escherichia coli K-12.	Manch JN	1981 Nov	?
Conjugal transfer of R-plasmid R1drd-19 in Escherichia coli below 22 degrees C.	Singleton P Anson AE	1981 Nov	?
Chi activity during transduction-associated recombination.	Dower NA Stahl FW	1981 Nov	?
Transferable plasmid-mediated antibiotic resistance in Bacteroides.	Rotimi VO Duerden BI Hafiz S	1981 Nov	10.1099/00222615-14-4-359 [doi]
[Transmitted resistance to antibiotics in NAG-vibrio (author's transl)].	Saxa V Porazikova T Karolcek J	1981 Nov	?
Characterization of conjugative R plasmids belonging to the new incompatibility group IncU.	Tschape H Tietze E Koch C	1981 Nov	10.1099/00221287-127-1-155 [doi]
Viruses and bacteria in pediatric diarrhea in Thailand: a study of multiple antibiotic-resistant enteric pathogens.	Leksomboon U Echeverria P Suvongse C Duangmani C	1981 Nov	?
An R plasmid of broad host-range, coding for resistance to nine antimicrobial agents endemic in Gram-negative nosocomial isolates.	Tantulavanich S Olexy VM Prasad TR Bird TJ Talanda-Fath C Grieble HG Farrand SK	1981 Nov	10.1099/00222615-14-4-371 [doi]
Spread of R-plasmids among Escherichia coli causing urinary tract infections.	Hughes C Bauer E Roberts AP	1981 Oct	?
Influence of lipopolysaccharide and protein in the cell envelope on recipient capacity in conjugation of Salmonella typhimurium.	Sanderson KE Janzer J Head J	1981 Oct	?
A conjugative 'plasmid' lacking autonomous replication.	Nugent ME	1981 Oct	10.1099/00221287-126-2-305 [doi]
Mutagenesis by insertion of drug resistance transposon Tn7 into a vibrio species.	Thomson JA Hendson M Magnes RM	1981 Oct	?
Mercury resistance in Yersinia enterocolitica.	Vidon DJ Lett MC Delmas CL	1981 Sep-Oct	?
Conjugal transfer of an R-plasmid in Pasteurella multocida.	Hirsh DC Martin LD Rhoades KR	1981 Sep	?
Antimicrobial resistance transfer in transport media.	George BA Fagerberg DJ Sanem JA	1981 Sep	?
[Group of derepressed pKMR plasmids found in wild strains of Shigella].	Sidorov IA	1981 Sep	?
Chloramphenicol transposons found in Salmonella naestved and Escherichia coli of domestic animal origin.	Terakado N Sekizaki T Hashimoto K Yamagata S Yamamoto T	1981 Sep	?
Aminoglycoside phosphotransferase-II-mediated amikacin resistance in Escherichia coli.	Bongaerts GP Kaptijn GM	1981 Sep	?
[Compatibility of F-like genetic transfer factor pAP43 with F-group incompatibility plasmids].	Pekhov AP Reshetnikova VN Gubar' EV Drobysheva NA	1981 Aug	?
Gentamicin-resistant Klebsiella aerogenes as a clinically-significant source of transferable antibiotic resistance.	Casewell MW Talsania HG Knight S	1981 Aug	?
Identification and characterization of Col plasmids from classical colicin E-producing strains.	Watson R Rowsome W Tsao J Visentin LP	1981 Aug	?
A mutant defective in partitioning of composite plasmid Rms201.	Ike Y Hashimoto H Mitsuhashi S	1981 Aug	?
Killing of Klebsiella pneumoniae mediated by conjugation with bacteria carrying antibiotic-resistance plasmids of the group N.	Rodriguez M Iyer VN	1981 Jul	0147-619X(81)90060-3 [pii]
[Simplified technic of determining the Enterobacteriaceae R-plasmid incompatibility groups suitable for epidemiologic studies].	Belokrysenko SS	1981 Jul	?
Intraspecific and intergeneric mobilization of non-conjugative resistance plasmids by a 24.5 megadalton conjugative plasmid of Neisseria gonorrhoeae.	Flett F Humphreys GO Saunders JR	1981 Jul	10.1099/00221287-125-1-123 [doi]
Isolation and characterization of hypertoxinogenic (htx) mutants of Escherichia coli KL320(pCG86).	Bramucci MG Twiddy EM Baine WB Holmes RK	1981 Jun	?
Escherichia coli traD(Ts) mutant temperature sensitive for assembly of RNA bacteriophage MS2.	Schoulaker-Schwarz R Engelberg-Kulka H	1981 Jun	?
[Transfer to Escherichia coli of the mercury markers of new Pseudomonas aeruginosa plasmids].	Domaradskii IV Kurnosova LM Iudina EG Kruglova AA	1981 Jun	?
Mobilization of the non-conjugative IncQ plasmid RSF1010.	Willetts N Crowther C	1981 Jun	?
